05014005	0-0 2-2 4-4 6-6 8-8 9-8 11-10 12-11 13-12
24035012	0-0 1-5 2-1 3-6 3-7 4-3 5-2
05015019	0-0 1-10 1-11 2-1 2-2 4-3 5-4 6-6 7-7 8-9 10-12 11-14 13-15 15-20 16-19 17-16 18-17 19-17 21-22 22-21 23-23 24-25 25-24
22005007	0-0 1-0 2-1 2-2 4-3 5-6 6-4 8-7 9-7 10-7 12-8 13-8 15-11 16-9 17-13 18-15 18-16 19-14
01019018	0-0 1-2 2-1 3-3 7-6 9-4
19069018	0-1 1-2 2-3 3-5 5-6 6-8 8-7 10-9 12-10 13-10
19132018	0-0 1-0 2-1 3-1 4-2 6-3 7-4 8-4 9-5 10-6 11-6
23030011	0-0 1-2 3-3 4-5 6-6 7-6 8-8 9-11 10-10
10018008	0-0 1-3 1-4 2-6 3-9 4-2 5-10 5-11 7-12 8-14 8-15 9-17 10-27 10-28 11-26 12-13 13-19 14-21 15-23 15-24
20001025	0-0 1-1 2-1 3-2 4-3 5-3 7-6 8-7 9-5 10-5
19080004	0-0 2-1 3-1 4-1 6-3 7-4 9-5 10-6 11-6 12-6
32002001	0-0 1-2 2-1 3-4 4-3 5-6 6-8 8-9 9-11 10-10 11-14 11-15 12-13 13-16 14-17 15-18 16-19 17-20
10010017	0-0 2-1 3-3 5-6 6-6 7-8 8-9 9-10 10-11 11-13 11-14 12-11 13-15 14-16 15-17 17-18 18-20 19-19 20-19 21-23 22-22 23-24 24-25 25-26 26-26
23044014	0-1 1-1 2-2 3-3 5-5 6-5 7-6 8-7 9-8 10-9 11-10 13-11 14-10 15-14 16-13 17-12 19-15 20-16 22-17 23-18 24-19 26-19
20012002	0-0 1-1 2-4 3-2 5-5 6-6 6-7 7-8 8-8 9-8
02035013	0-1 0-2 1-5 2-6 3-8 4-9 5-10 6-13 6-14 6-12
02023028	0-0 1-1 2-1 3-3 3-4 4-6 5-5 5-6 6-8 7-10 7-11 9-13 9-14 10-15 11-17 11-18 12-21 13-21
19050009	0-0 1-1 2-1 3-4 4-3 5-3 7-7 8-6 9-6
24048045	0-2 1-1 2-3 3-6 4-5 5-4 7-7 8-8 9-9 10-11 12-13 13-16 14-15 16-17 17-18 18-18 19-20 20-19 21-21 22-24 23-23 24-22
11018020	0-0 1-2 2-1 3-1 4-4 5-5 5-6 6-7 7-8 8-10 8-11 9-13 9-14 9-15
19062011	0-0 1-1 2-3 4-7 5-8 6-8 7-8 8-6 9-6 11-10 12-9 13-11 15-12 17-14 18-13
04014005	0-0 1-2 2-3 3-4 4-1 5-6 6-12 6-13 7-11 8-9 9-10 10-7 10-8
02040008	0-0 1-1 2-3 2-4 3-5 4-6 5-7 6-9 7-11 7-12 8-10
18038001	0-0 1-2 2-1 3-4 4-9 4-10 5-11 6-12
