01003018	0-0 1-1 2-2 3-3 3-4 4-5 5-6 5-7 8-8 9-9 10-10 11-11 12-11 13-13 14-13 15-12 16-13 16-14 17-15 18-16
01010010	1-2 3-3 5-6 6-5 7-4 8-7 9-6 9-8 10-5 11-8 12-9 13-10 14-11 15-12 16-15 17-16
01027033	0-0 1-1 1-2 2-3 2-4 2-6 2-7 3-5 4-12 5-13 6-13 7-14 8-15 9-11 11-16 12-9 13-18 14-20 14-22 15-21 15-22 16-24 17-27 18-26 19-25 20-25 21-28 22-29 23-30 24-32 25-32 25-34 26-33 27-35 28-36 29-38 30-39 30-40 31-41 32-40 33-37 35-43 36-45 37-44 38-44 39-45 40-46
01029027	0-0 1-0 2-0 3-0 4-0 4-2 5-1 5-2 5-4 6-5 7-6 8-7 9-8 10-9 11-8 14-11 15-10 17-15 18-19 19-12 20-11 21-22 22-21 22-24 23-13 23-23 24-14 25-25
01036011	0-0 1-1 2-2 3-3 3-4 4-5 5-6 6-7 6-9 7-8 7-10 8-9 9-10 10-11 11-12 12-13 13-14 14-15
01036016	0-2 1-3 2-5 2-6 3-7 4-10 5-11 6-12 6-14 7-13 8-15 9-16 10-17 11-17 12-18 12-19 13-21 14-23 14-24 14-25 15-26 16-27 17-28 18-29 18-30 19-31 20-32 21-33
01046014	0-0 1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 10-9
01048002	0-4 1-2 2-0 2-1 2-5 3-6 3-7 4-8 5-8 5-9 6-10 7-11 8-12 9-13 10-14 11-15 12-16 13-17 14-18 15-19 16-20 17-21 18-22 19-24 20-25 21-25 22-26 23-27 24-28 25-29
01048010	1-2 1-3 3-0 3-1 4-4 5-5 6-6 7-7 8-8 9-8 10-9 12-10 13-11 13-12 13-13 14-11 15-14 16-15 18-16 19-18 20-17 21-19 22-19 23-20 24-21 25-22 26-23 27-27 28-29 29-26 30-24 31-30 32-32 33-31 34-33
02019018	0-0 0-1 1-3 2-4 4-5 5-7 6-8 7-9 7-10 8-11 9-12 10-14 10-15 11-16 12-13 13-17 14-19 15-20 16-21 17-22 18-22 19-23 20-26 21-25 22-24 23-26 24-26 25-27 26-28 27-29 28-32 29-31 30-33 31-34 32-34 32-35 32-36 33-37
02022002	1-0 2-1 3-2 4-3 5-4 6-7 7-6 8-8 9-11 10-12 11-9 11-13 12-10 13-10 14-14 15-15 18-16 18-18 19-17 19-19 20-20 21-21 22-22 23-25
02028017	2-8 3-9 4-10 5-5 5-11 6-6 7-5 8-4 9-12 12-13 13-14 14-1 15-0 15-2 17-16 18-17 19-18 20-19 21-20 22-21 23-22 25-24
02032026	0-0 1-0 1-2 2-1 2-2 3-3 4-4 5-5 7-6 8-7 9-9 10-10 11-11 12-11 13-14 13-15 14-16 15-17 16-18 17-19 18-20 21-13 24-21 25-22 26-23 27-24 27-26 28-27 28-28 29-28 29-29 30-30 31-31
02039010	0-0 1-0 2-2 3-4 4-5 5-3 6-6 7-7 10-8 12-1 13-9 14-10 16-11 17-15 18-12 18-13 18-15 19-14 20-15 21-16 22-17 23-18 25-20
03013057	1-0 2-1 3-2 4-4 5-5 6-6 7-7 8-22 9-23 12-24 16-11 17-12 18-13 19-14 20-14 21-15 22-29 23-30 24-32 25-28 26-8 28-31 29-34 30-35 31-36 32-36 33-37 33-38 34-37 35-39 36-40
03014043	1-0 2-1 3-2 4-3 4-6 5-7 6-8 7-9 8-11 9-15 10-16 11-14 12-12 14-13 15-17 16-21 17-22 18-18 19-19 20-20 21-23
03015031	1-1 2-0 3-1 4-1 5-2 6-3 6-4 6-5 8-6 10-10 11-8 12-7 13-8 14-9 15-11 16-12 17-13 18-13 19-14 20-15 21-18 22-19 23-17 24-22 25-23 26-24 27-24 29-25 30-26 31-27 31-28 32-29 33-30
03017013	2-0 3-3 3-4 3-5 4-6 5-2 6-8 7-7 7-10 8-11 8-12 9-8 10-9 11-17 12-18 13-19 14-20 15-22 16-23 17-22 18-24 19-25 20-27 20-29 21-28 22-29 23-30 24-31 25-32 26-34 27-33 28-35 29-36 30-37
03026016	0-1 1-0 3-6 4-2 6-3 7-7 8-8 9-8 11-9 12-10 13-12 14-11 14-12 15-13 16-15 17-15 18-16 19-17 19-18 20-20 21-21 22-21 23-22 24-23 25-25 26-24 27-24 28-26 29-27 30-29 31-31 32-30 33-32 34-32 35-33 36-34 37-37 38-35 39-38 40-39 41-40 42-41 44-42
04003008	0-0 1-1 2-2 3-3 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-11 14-12 15-11 16-20 17-28 18-21 19-22 20-23 20-24 20-25 21-27 22-30 23-29 24-30 25-31 26-31 27-32 28-33
04003027	0-0 1-1 3-8 4-2 5-10 6-3 7-5 7-6 8-7 9-11 10-12 11-16 12-17 13-16 14-22 16-24 17-26 18-27 19-25 20-28
04006009	2-0 3-1 4-2 5-3 6-4 7-6 8-11 9-7 10-14 11-15 15-29 16-12 17-16 18-17 19-19 20-18 20-19 20-20 21-21 22-21 23-23 24-22 25-23 26-24 27-25 28-26 29-27 29-31 30-32 31-33 32-34 33-35
04011008	0-0 1-1 2-2 2-3 3-3 4-6 5-10 6-7 8-8 10-5 11-11 12-4 13-17 14-14 14-15 16-9 17-18 18-19 19-20 20-21 21-22 22-24 23-23 24-25 26-26 27-27 27-28 28-30 30-29 31-31 31-32 32-33 33-34 34-34 35-37 36-37 36-38 37-38 38-37 39-38 39-40 40-41 41-41 42-42
